შესაძლოა;może;1
გმადლობ;dziękuję;1
ვწუხვარ;przepraszam;1
ერთი წუთით;chwila;2
გთხოვთ გაიმეოროთ;proszę powtórzyć;3
რვა;osiem;1
ოთხმოცდაათი;dziewięćdziesiąt;2
რამდენიმე;kilka;2
მხარეს;strona;2
ბოლოს და ბოლოს;wreszcie;3
უფრო ახლოს;bliżej;3
ხელახლა შექმნა;odtwarzać;2
მარტივი;łatwy;1
ისარი;strzałka;1
დივანი;kanapa;1
სადესანტო;ładowanie;2
ახალი;nowy;1
ფასი;cena;1
ასი;sto;1
ავტობუსი;autobus;2
რბილი;miękki;1
თეატრი;teatr;1
კლუბი;klub;1
ლექსიკონი;słownik;1
იდიოტი;idiota;1
მიკროფონი;mikrofon;2